PRUID,Name,NameFR,Date,Confirmed_Cases,Probable_Cases,Deaths,Total_Cases,Cases_Today,Percent_Today,ObjectId,Deaths_Today,Current_Day,Number_Recovered,Number_Tested,RecoveredToday,TestedToday,Precent_Recovered,Percent_Death,Percent_Active
61,Northwest Territories,Territoires du Nord-Ouest,2020/03/11 12:00:00+00,0,0,0,0,0,0,58,0,0,0,0,0,0,,,
62,Nunavut,Nunavut,2020/03/11 12:00:00+00,0,0,0,0,0,0,59,0,0,0,0,0,0,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020/03/11 12:00:00+00,0,0,0,0,0,0,60,0,0,0,6,0,6,,,
99,Repatriated travellers,Voyageurs rapatriés,2020/03/11 12:00:00+00,1,0,0,1,1,100,61,0,0,0,29,0,29,,0,100
1,Canada,Canada,2020/03/11 12:00:00+00,103,0,2,103,26,33.77,62,1,0,0,11023,0,11023,,1.94,98.06
60,Yukon,Yukon,2020/03/11 12:00:00+00,0,0,0,0,0,0,63,0,0,0,0,0,0,,,
12,Nova Scotia,Nouvelle-Écosse,2020/03/11 12:00:00+00,0,0,0,0,0,0,64,0,0,0,103,0,103,,,
35,Ontario,Ontario,2020/03/11 12:00:00+00,42,0,1,42,8,23.53,65,1,0,0,3394,0,3394,,2.38,97.62
13,New Brunswick,Nouveau-Brunswick,2020/03/11 12:00:00+00,0,0,0,0,0,0,66,0,0,0,22,0,22,,,
59,British Columbia,Colombie-Britannique,2020/03/11 12:00:00+00,39,0,1,39,7,0,67,0,0,0,4373,0,4373,,2.56,97.44
48,Alberta,Alberta,2020/03/11 12:00:00+00,14,0,0,14,7,0,68,0,0,0,1969,0,1969,,0,100
47,Saskatchewan,Saskatchewan,2020/03/11 12:00:00+00,0,0,0,0,0,0,69,0,0,0,204,0,204,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020/03/11 12:00:00+00,0,0,0,0,0,0,70,0,0,0,44,0,44,,,
24,Quebec,Québec,2020/03/11 12:00:00+00,7,0,0,7,3,75,71,0,0,0,556,0,556,,0,100
46,Manitoba,Manitoba,2020/03/11 12:00:00+00,0,0,0,0,0,0,72,0,0,0,352,0,352,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020/03/12 12:00:00+00,0,0,0,0,0,0,73,0,0,0,6,0,0,,,
1,Canada,Canada,2020/03/12 12:00:00+00,138,3,2,141,38,36.89,74,0,0,0,15185,0,4162,,1.42,98.58
99,Repatriated travellers,Voyageurs rapatriés,2020/03/12 12:00:00+00,1,0,0,1,0,0,75,0,0,0,29,0,0,,0,100
62,Nunavut,Nunavut,2020/03/12 12:00:00+00,0,0,0,0,0,0,76,0,0,0,1,0,1,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020/03/12 12:00:00+00,0,0,0,0,0,0,77,0,0,0,34,0,34,,,
60,Yukon,Yukon,2020/03/12 12:00:00+00,0,0,0,0,0,0,78,0,0,0,0,0,0,,,
12,Nova Scotia,Nouvelle-Écosse,2020/03/12 12:00:00+00,0,0,0,0,0,0,79,0,0,0,182,0,79,,,
13,New Brunswick,Nouveau-Brunswick,2020/03/12 12:00:00+00,0,1,0,1,1,0,80,0,0,0,44,0,22,,0,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020/03/12 12:00:00+00,0,0,0,0,0,0,81,0,0,0,52,0,8,,,
24,Quebec,Québec,2020/03/12 12:00:00+00,13,0,0,13,6,85.71,82,0,0,0,740,0,184,,0,100
35,Ontario,Ontario,2020/03/12 12:00:00+00,59,0,1,59,17,40.48,83,0,0,0,4185,0,791,,1.69,98.31
46,Manitoba,Manitoba,2020/03/12 12:00:00+00,0,1,0,1,1,0,84,0,0,0,352,0,0,,0,100
47,Saskatchewan,Saskatchewan,2020/03/12 12:00:00+00,0,1,0,1,1,0,85,0,0,0,285,0,81,,0,100
48,Alberta,Alberta,2020/03/12 12:00:00+00,19,0,0,19,5,35.71,86,0,0,0,4109,0,2140,,0,100
59,British Columbia,Colombie-Britannique,2020/03/12 12:00:00+00,46,0,1,46,7,17.95,87,0,0,0,5195,0,822,,2.17,97.83
99,Repatriated travellers,Voyageurs rapatriés,2020/03/13 12:00:00+00,2,0,0,2,1,100,88,0,0,0,29,0,0,,0,100
62,Nunavut,Nunavut,2020/03/13 12:00:00+00,0,0,0,0,0,0,89,0,0,0,1,0,0,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020/03/13 12:00:00+00,0,0,0,0,0,0,90,0,0,0,34,0,0,,,
60,Yukon,Yukon,2020/03/13 12:00:00+00,0,0,0,0,0,0,91,0,0,0,0,0,0,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020/03/13 12:00:00+00,0,0,0,0,0,0,92,0,0,0,6,0,0,,,
12,Nova Scotia,Nouvelle-Écosse,2020/03/13 12:00:00+00,0,0,0,0,0,0,93,0,0,0,182,0,0,,,
1,Canada,Canada,2020/03/13 12:00:00+00,176,3,2,179,38,26.95,94,0,0,0,15185,0,0,,1.12,98.88
13,New Brunswick,Nouveau-Brunswick,2020/03/13 12:00:00+00,1,0,0,1,0,0,95,0,0,0,44,0,0,,0,100
24,Quebec,Québec,2020/03/13 12:00:00+00,17,0,0,17,4,30.77,96,0,0,0,740,0,0,,0,100
35,Ontario,Ontario,2020/03/13 12:00:00+00,79,0,1,79,20,33.9,97,0,0,0,4185,0,0,,1.27,98.73
46,Manitoba,Manitoba,2020/03/13 12:00:00+00,1,2,0,3,2,200,98,0,0,0,352,0,0,,0,100
47,Saskatchewan,Saskatchewan,2020/03/13 12:00:00+00,0,1,0,1,0,0,99,0,0,0,285,0,0,,0,100
48,Alberta,Alberta,2020/03/13 12:00:00+00,23,0,0,23,4,21.05,100,0,0,0,4109,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/13 12:00:00+00,53,0,1,53,7,15.22,101,0,0,0,5195,0,0,,1.89,98.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020/03/13 12:00:00+00,0,0,0,0,0,0,102,0,0,0,52,0,0,,,
1,Canada,Canada,2020/03/14 12:00:00+00,193,6,2,199,20,11.17,103,0,0,0,22409,0,7224,,1.01,98.99
